,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190419_152459_model_24,0.7662871372639337,0.5017257574906181,0.2888141985260249,0.41168601722446135,0.1694853767781395
1,StackedEnsemble_BestOfFamily_AutoML_20190419_152459,0.7627461423307231,0.5037240528647452,0.27734195071395673,0.4140091115060958,0.1714035444100669
2,StackedEnsemble_AllModels_AutoML_20190419_152459,0.7599680446798709,0.5079500346616608,0.2822576001842469,0.4141419945204066,0.1715135916253405
3,GBM_grid_1_AutoML_20190419_152459_model_11,0.7519576232151083,0.512112528703273,0.3045039728235836,0.4158917512465754,0.17296594875494334
4,GLM_grid_1_AutoML_20190419_152459_model_1,0.7516985260248733,0.5031025560372535,0.2955003454629203,0.4136584622975524,0.17111332343037558
5,GBM_grid_1_AutoML_20190419_152459_model_22,0.7502878857669277,0.5093323587476701,0.3007686549976969,0.4157324530063276,0.1728334724826584
6,GBM_grid_1_AutoML_20190419_152459_model_26,0.7493306655918931,0.5627229505637389,0.30384903270382313,0.4357148340383192,0.18984741660104007
7,GBM_grid_1_AutoML_20190419_152459_model_27,0.7466749193919853,0.5634746012580437,0.28638876093965915,0.4361121830098357,0.1901938361696044
8,GBM_grid_1_AutoML_20190419_152459_model_17,0.7466533279594656,1.0886640923758664,0.3274052855826808,0.4792769514803013,0.22970639622025105
9,GBM_5_AutoML_20190419_152459,0.7455665591893137,0.5149259647987967,0.29001612160294793,0.4172864606128584,0.17412799021080666
10,GBM_grid_1_AutoML_20190419_152459_model_33,0.7441055389221558,0.5704720284878035,0.2911316789497927,0.43922237511211465,0.1929162947991271
11,GBM_grid_1_AutoML_20190419_152459_model_35,0.743069150161216,0.5184564941189186,0.3032372754491018,0.4181480532537041,0.1748477944398626
12,GBM_grid_1_AutoML_20190419_152459_model_3,0.7408812183325656,0.5214168143761279,0.2941472823583602,0.4193475190941494,0.17585234177041806
13,GBM_grid_1_AutoML_20190419_152459_model_5,0.7407516697374482,0.5179187069486295,0.30498618148318746,0.4193976325698715,0.175894374205213
14,GBM_1_AutoML_20190419_152459,0.7384413864578535,0.5384277273242943,0.2940609166282819,0.4280851719112241,0.1832569144102623
15,GBM_grid_1_AutoML_20190419_152459_model_15,0.7381966835559649,0.5821865947938765,0.2934923422385997,0.4445315626091593,0.19760831015574104
16,GBM_grid_1_AutoML_20190419_152459_model_9,0.7375345462920314,0.665365580091535,0.3116291455550437,0.4583532933341949,0.2100877415103025
17,GBM_3_AutoML_20190419_152459,0.7333242169507141,0.5364463189380962,0.30557634730538924,0.42828455136735183,0.18342765693993385
18,GBM_grid_1_AutoML_20190419_152459_model_14,0.732877994011976,0.5824937176675616,0.29598255412252417,0.4446572552344267,0.1977200746326141
19,GBM_grid_1_AutoML_20190419_152459_model_34,0.7321150967296177,0.5809999935802528,0.29366507369875633,0.4439560758325874,0.19709699726867008
20,DRF_1_AutoML_20190419_152459,0.7316616766467067,0.6353844885866796,0.3055979387379088,0.4276085838472591,0.1828491009798584
21,GBM_grid_1_AutoML_20190419_152459_model_10,0.730179064947029,0.5838128521749938,0.2899081644403501,0.4452579260198878,0.19825462068353186
22,GBM_grid_1_AutoML_20190419_152459_model_30,0.7297400391524642,0.9542742339400542,0.322316904652234,0.4844129939371164,0.2346559486951207
23,GBM_2_AutoML_20190419_152459,0.7275377130354675,0.5410790568428334,0.2966159028097651,0.431167283678245,0.18590522651447625
24,GBM_grid_1_AutoML_20190419_152459_model_25,0.7269835329341318,0.5677416950030819,0.3224896361123906,0.4377956599199687,0.19166503984476085
25,GBM_4_AutoML_20190419_152459,0.7263573813910641,0.544168814462882,0.3339187010594197,0.43021975181602506,0.1850890348526422
26,GBM_grid_1_AutoML_20190419_152459_model_12,0.7253713726393367,0.5795387624819471,0.3163288807001382,0.4432910312490625,0.19650693838585728
27,GBM_grid_1_AutoML_20190419_152459_model_21,0.7229171464762782,0.5836333786533299,0.3121545370796868,0.44403534112447735,0.19716738416753096
28,XRT_1_AutoML_20190419_152459,0.7221974320589589,0.6441050885897001,0.32535409949332106,0.4281390771503363,0.1833030693831416
29,GBM_grid_1_AutoML_20190419_152459_model_31,0.7218447719944726,1.2256548782169774,0.3350126669737448,0.4908813664204726,0.24096451589883036
30,GBM_grid_1_AutoML_20190419_152459_model_23,0.7191386457853525,0.7522996531628854,0.3448655573468448,0.4709925025667942,0.2218339374741316
31,GBM_grid_1_AutoML_20190419_152459_model_13,0.7146620221096268,0.5667852071115679,0.3127231114693689,0.4376500106284189,0.1915375318030552
32,GBM_grid_1_AutoML_20190419_152459_model_8,0.7120134730538923,0.5807880305181968,0.3207191386457853,0.4462122170811021,0.19910534267243254
33,GBM_grid_1_AutoML_20190419_152459_model_7,0.7116752072777521,0.5812172956944731,0.32043845002303084,0.4440950741478999,0.1972204348824287
34,GBM_grid_1_AutoML_20190419_152459_model_18,0.7114952786734224,0.5791663965977539,0.3098586480884385,0.4431882352903385,0.19641581189976445
35,GBM_grid_1_AutoML_20190419_152459_model_16,0.7073713150621833,0.6143698758589499,0.3273836941501612,0.4550024313927941,0.2070272125733543
36,GBM_grid_1_AutoML_20190419_152459_model_2,0.6991161906955321,1.0540863378530825,0.35304151312759097,0.4922760768341656,0.2423357358232373
37,GBM_grid_1_AutoML_20190419_152459_model_19,0.6979574504836481,0.9787264532838283,0.3363009557807462,0.5038245207646256,0.25383914772370464
38,GBM_grid_1_AutoML_20190419_152459_model_28,0.6823252533394749,0.5818837229241404,0.3375028788576693,0.4444567553837748,0.19754180740627267
