,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190421_181829_model_6,0.7523462690004605,0.566121848264366,0.29296695071395673,0.43723194768373536,0.1911717760753127
1,GLM_grid_1_AutoML_20190421_181829_model_1,0.7516985260248733,0.5031025560372535,0.2955003454629203,0.4136584622975524,0.17111332343037558
2,GBM_grid_1_AutoML_20190421_181829_model_3,0.7512379087977891,0.5137947794943222,0.2930317250115154,0.4181702878599733,0.17486638964889292
3,GBM_grid_1_AutoML_20190421_181829_model_7,0.749474608475357,0.5133659764032867,0.28684937816674344,0.4158581102527768,0.1729379678630106
4,GBM_grid_1_AutoML_20190421_181829_model_5,0.7481143482266237,0.5121544417491539,0.2941472823583602,0.4165691033386535,0.17352981785636978
5,GBM_2_AutoML_20190421_181829,0.7473586480884384,0.5239835682135617,0.30013530631045604,0.4223219498821763,0.17835582935228342
6,GBM_grid_1_AutoML_20190421_181829_model_11,0.7464733993551358,0.513620018972997,0.2977962344541686,0.41693958466579206,0.1738386172612831
7,XRT_1_AutoML_20190421_181829,0.7464733993551358,0.5735551616642044,0.3073900276370336,0.4217156560783525,0.17784409458159525
8,GBM_1_AutoML_20190421_181829,0.7446381275909719,0.5288835617302674,0.3139466259788116,0.42012297628588985,0.1765033152033144
9,GBM_5_AutoML_20190421_181829,0.7446309304467987,0.5147745127312519,0.29777464302164897,0.4169170733984998,0.17381984609117013
10,GBM_grid_1_AutoML_20190421_181829_model_12,0.7435657531091663,0.5265257357709039,0.2988902003684938,0.4232665155047642,0.17915454314754475
11,GBM_3_AutoML_20190421_181829,0.7422558728696453,0.5264935035015227,0.3127447029018885,0.4229319759707621,0.17887145629853324
12,GBM_4_AutoML_20190421_181829,0.7378080377706127,0.5346612156425296,0.30616651312759097,0.4270843161774066,0.18240101312472304
13,GBM_grid_1_AutoML_20190421_181829_model_1,0.7330219368954398,0.5379093692112954,0.32048163288807,0.4285313193894193,0.1836390916976365
14,GBM_grid_1_AutoML_20190421_181829_model_2,0.7244789267618609,0.5817559501439218,0.29976105481345,0.4443369432100089,0.19743531910121467
15,GBM_grid_1_AutoML_20190421_181829_model_10,0.7225213035467526,0.5878709871546792,0.3104488139106403,0.4470946223629625,0.19989360134588005
16,GBM_grid_1_AutoML_20190421_181829_model_8,0.7207723975126671,0.8264056571190521,0.32889509442653153,0.4617948064983649,0.21325444330886226
17,GBM_grid_1_AutoML_20190421_181829_model_4,0.7135536619069552,0.5547870936662957,0.32600903961308153,0.4336776309454424,0.18807628758245126
18,DRF_1_AutoML_20190421_181829,0.7134600990327038,0.7049626562621785,0.33938133348687244,0.4338606636459513,0.1882350754593054
19,GBM_grid_1_AutoML_20190421_181829_model_9,0.6540908567480425,0.5951456200308329,0.37432346844771996,0.4503892792613273,0.20285050287353784
