,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,XRT_1_AutoML_20190421_183436,0.7534546292031321,0.6146860022532452,0.301445186549977,0.4186069727910107,0.17523179766925398
1,GLM_grid_1_AutoML_20190421_183436_model_1,0.7516985260248733,0.5031025560372535,0.2955003454629203,0.4136584622975524,0.17111332343037558
2,GBM_grid_1_AutoML_20190421_183436_model_6,0.7505325886688161,0.5207031267640779,0.2833947489636112,0.4223235103903155,0.17835714742839895
3,GBM_grid_1_AutoML_20190421_183436_model_4,0.7501655343159833,0.5145228266133811,0.3000705320128973,0.41749761763755894,0.1743042607330374
4,GBM_5_AutoML_20190421_183436,0.7470491708889913,0.5144361379645151,0.2936218908337172,0.4165502092055497,0.17351407678918726
5,GBM_grid_1_AutoML_20190421_183436_model_7,0.7470419737448181,0.5139419767465686,0.2929453592814371,0.4176566240399889,0.17443705560448064
6,GBM_3_AutoML_20190421_183436,0.7459336135421465,0.5279822413226871,0.3138386688162137,0.4223908937928095,0.17841406715908847
7,GBM_grid_1_AutoML_20190421_183436_model_11,0.7414353984339014,0.6957968162275074,0.30494299861814833,0.4624500977115375,0.21386009287341054
8,GBM_grid_1_AutoML_20190421_183436_model_17,0.7390891294334409,0.5385430750316093,0.3080665591893137,0.42919333222618905,0.1842069164274199
9,GBM_2_AutoML_20190421_183436,0.7355337402118839,0.5336101054113631,0.299609914785813,0.42785873000913377,0.1830630928450288
10,GBM_grid_1_AutoML_20190421_183436_model_8,0.7346844771994472,0.5694109781629308,0.31339964302164897,0.4386762603451234,0.19243686139038252
11,GBM_4_AutoML_20190421_183436,0.7339935513588208,0.535233261031529,0.3210717987102717,0.42725651515763946,0.18254812974465012
12,GBM_1_AutoML_20190421_183436,0.7309347650852142,0.5428758848827677,0.3135291916167665,0.4303475057827522,0.1851989757334359
13,GBM_grid_1_AutoML_20190421_183436_model_16,0.7294953362505758,0.5652091960388093,0.3084839935513588,0.4367980896281161,0.19079257110277173
14,GBM_grid_1_AutoML_20190421_183436_model_12,0.7288547904191616,0.5288589280299808,0.3080017848917549,0.4238935791766385,0.17968576646718107
15,GBM_grid_1_AutoML_20190421_183436_model_9,0.7285812989405803,0.5704581345920615,0.3000705320128973,0.4392466181790563,0.19293759158173773
16,GBM_grid_1_AutoML_20190421_183436_model_5,0.7279335559649931,0.8829706107403454,0.3194956241363427,0.4848408963283949,0.2350706947525214
17,DRF_1_AutoML_20190421_183436,0.7278184016582221,0.6976860884926401,0.318646361123906,0.4299216547054537,0.18483262918467536
18,GBM_grid_1_AutoML_20190421_183436_model_2,0.726580492860433,0.5278068495229574,0.30791541916167664,0.42343088690240616,0.17929371598295826
19,GBM_grid_1_AutoML_20190421_183436_model_3,0.7237448180561953,0.5700662160529902,0.32347564486411795,0.4390530226516337,0.1927675566995359
20,GBM_grid_1_AutoML_20190421_183436_model_14,0.7174113311837863,0.5708723532371409,0.313773894518655,0.4393643448909385,0.1930410275614435
21,GBM_grid_1_AutoML_20190421_183436_model_13,0.7134457047443574,1.0575694191731921,0.3392949677567941,0.4916025264398312,0.2416730440020249
22,GBM_grid_1_AutoML_20190421_183436_model_1,0.6984972362966375,0.5852718690554319,0.33453045831414097,0.4459197934214839,0.1988444621650589
23,GBM_grid_1_AutoML_20190421_183436_model_15,0.6549041340396131,0.5949234835476028,0.3736037540304007,0.4502883386349511,0.20275958791062432
24,GBM_grid_1_AutoML_20190421_183436_model_10,0.6386241939198526,0.595433839894187,0.3838093044679871,0.4505186246198606,0.2029670311293708
